@relation 'dataset-weka.filters.unsupervised.attribute.AddValues-C66-L6,7-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C67-L1-4-V-H-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C68-L1-4-V-H'

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute inputs-61 numeric
@attribute inputs-62 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7}
@attribute outputs-2 {0,1,2,3}
@attribute outputs-3 {0,1,2,3}

@data
3254,'2017/02/18 11:57:39:036',20,24.774662,162.647064,46.173031,0,0,0,36.17421,136.313965,11.37355,27.642756,179.834366,-52.848999,-12.97473,177.81189,-48.406712,18.586702,111.053185,11.391116,-58.401203,148.335724,30.940805,443693.75,0.118374,-0.928739,-0.351329,-0.514859,0.245132,-0.821481,0.126774,0.289991,-0.559853,37.834187,75.952805,41.704937,0,0,0,11.554239,31.965454,22.594563,16.05092,92.44455,-50.472824,16.357033,45.480568,53.694191,28.611736,44.341621,58.203217,39.668671,47.004929,52.937824,184785.71875,-0.394611,-0.903718,-0.166059,0.033063,0.166642,-0.985463,-0.4117,0.167516,0.033538,1,?,?
3255,'2017/02/18 11:57:39:053',20,24.774662,162.647064,46.173031,0,0,0,36.17421,136.313965,11.37355,27.642756,179.834366,-52.848999,-12.97473,177.81189,-48.406712,18.586702,111.053185,11.391116,-58.401203,148.335724,30.940805,443693.75,0.118374,-0.928739,-0.351329,-0.514859,0.245132,-0.821481,0.126774,0.289991,-0.559853,37.834187,75.952805,41.704937,0,0,0,11.554239,31.965454,22.594563,16.05092,92.44455,-50.472824,16.357033,45.480568,53.694191,28.611736,44.341621,58.203217,39.668671,47.004929,52.937824,184785.71875,-0.394611,-0.903718,-0.166059,0.033063,0.166642,-0.985463,-0.4117,0.167516,0.033538,1,?,?
3256,'2017/02/18 11:57:39:070',20,24.774662,162.647064,46.173031,0,0,0,36.17421,136.313965,11.37355,27.642756,179.834366,-52.848999,-12.97473,177.81189,-48.406712,18.586702,111.053185,11.391116,-58.401203,148.335724,30.940805,443693.75,0.118374,-0.928739,-0.351329,-0.514859,0.245132,-0.821481,0.126774,0.289991,-0.559853,37.834187,75.952805,41.704937,0,0,0,11.554239,31.965454,22.594563,16.05092,92.44455,-50.472824,16.357033,45.480568,53.694191,28.611736,44.341621,58.203217,39.668671,47.004929,52.937824,184785.71875,-0.394611,-0.903718,-0.166059,0.033063,0.166642,-0.985463,-0.4117,0.167516,0.033538,1,?,?
3257,'2017/02/18 11:57:39:087',20,24.774662,162.647064,46.173031,0,0,0,36.17421,136.313965,11.37355,27.642756,179.834366,-52.848999,-12.97473,177.81189,-48.406712,18.586702,111.053185,11.391116,-58.401203,148.335724,30.940805,443693.75,0.118374,-0.928739,-0.351329,-0.514859,0.245132,-0.821481,0.126774,0.289991,-0.559853,37.834187,75.952805,41.704937,0,0,0,11.554239,31.965454,22.594563,16.05092,92.44455,-50.472824,16.357033,45.480568,53.694191,28.611736,44.341621,58.203217,39.668671,47.004929,52.937824,184785.71875,-0.394611,-0.903718,-0.166059,0.033063,0.166642,-0.985463,-0.4117,0.167516,0.033538,1,?,?
3258,'2017/02/18 11:57:39:103',20,24.774662,162.647064,46.173031,0,0,0,36.17421,136.313965,11.37355,27.642756,179.834366,-52.848999,-12.97473,177.81189,-48.406712,18.586702,111.053185,11.391116,-58.401203,148.335724,30.940805,443693.75,0.118374,-0.928739,-0.351329,-0.514859,0.245132,-0.821481,0.126774,0.289991,-0.559853,37.834187,75.952805,41.704937,0,0,0,11.554239,31.965454,22.594563,16.05092,92.44455,-50.472824,16.357033,45.480568,53.694191,28.611736,44.341621,58.203217,39.668671,47.004929,52.937824,184785.71875,-0.394611,-0.903718,-0.166059,0.033063,0.166642,-0.985463,-0.4117,0.167516,0.033538,1,?,?
3259,'2017/02/18 11:57:39:120',20,24.774662,162.647064,46.173031,0,0,0,36.17421,136.313965,11.37355,27.642756,179.834366,-52.848999,-12.97473,177.81189,-48.406712,18.586702,111.053185,11.391116,-58.401203,148.335724,30.940805,443693.75,0.118374,-0.928739,-0.351329,-0.514859,0.245132,-0.821481,0.126774,0.289991,-0.559853,37.834187,75.952805,41.704937,0,0,0,11.554239,31.965454,22.594563,16.05092,92.44455,-50.472824,16.357033,45.480568,53.694191,28.611736,44.341621,58.203217,39.668671,47.004929,52.937824,184785.71875,-0.394611,-0.903718,-0.166059,0.033063,0.166642,-0.985463,-0.4117,0.167516,0.033538,1,?,?
3260,'2017/02/18 11:57:39:137',20,24.774662,162.647064,46.173031,0,0,0,36.17421,136.313965,11.37355,27.642756,179.834366,-52.848999,-12.97473,177.81189,-48.406712,18.586702,111.053185,11.391116,-58.401203,148.335724,30.940805,443693.75,0.118374,-0.928739,-0.351329,-0.514859,0.245132,-0.821481,0.126774,0.289991,-0.559853,37.834187,75.952805,41.704937,0,0,0,11.554239,31.965454,22.594563,16.05092,92.44455,-50.472824,16.357033,45.480568,53.694191,28.611736,44.341621,58.203217,39.668671,47.004929,52.937824,184785.71875,-0.394611,-0.903718,-0.166059,0.033063,0.166642,-0.985463,-0.4117,0.167516,0.033538,1,?,?
3261,'2017/02/18 11:57:39:153',20,24.774662,162.647064,46.173031,0,0,0,36.17421,136.313965,11.37355,27.642756,179.834366,-52.848999,-12.97473,177.81189,-48.406712,18.586702,111.053185,11.391116,-58.401203,148.335724,30.940805,443693.75,0.118374,-0.928739,-0.351329,-0.514859,0.245132,-0.821481,0.126774,0.289991,-0.559853,37.834187,75.952805,41.704937,0,0,0,11.554239,31.965454,22.594563,16.05092,92.44455,-50.472824,16.357033,45.480568,53.694191,28.611736,44.341621,58.203217,39.668671,47.004929,52.937824,184785.71875,-0.394611,-0.903718,-0.166059,0.033063,0.166642,-0.985463,-0.4117,0.167516,0.033538,1,?,?
3262,'2017/02/18 11:57:39:171',20,24.774662,162.647064,46.173031,0,0,0,36.17421,136.313965,11.37355,27.642756,179.834366,-52.848999,-12.97473,177.81189,-48.406712,18.586702,111.053185,11.391116,-58.401203,148.335724,30.940805,443693.75,0.118374,-0.928739,-0.351329,-0.514859,0.245132,-0.821481,0.126774,0.289991,-0.559853,37.834187,75.952805,41.704937,0,0,0,11.554239,31.965454,22.594563,16.05092,92.44455,-50.472824,16.357033,45.480568,53.694191,28.611736,44.341621,58.203217,39.668671,47.004929,52.937824,184785.71875,-0.394611,-0.903718,-0.166059,0.033063,0.166642,-0.985463,-0.4117,0.167516,0.033538,1,?,?
3263,'2017/02/18 11:57:39:187',20,24.774662,162.647064,46.173031,0,0,0,36.17421,136.313965,11.37355,27.642756,179.834366,-52.848999,-12.97473,177.81189,-48.406712,18.586702,111.053185,11.391116,-58.401203,148.335724,30.940805,443693.75,0.118374,-0.928739,-0.351329,-0.514859,0.245132,-0.821481,0.126774,0.289991,-0.559853,37.834187,75.952805,41.704937,0,0,0,11.554239,31.965454,22.594563,16.05092,92.44455,-50.472824,16.357033,45.480568,53.694191,28.611736,44.341621,58.203217,39.668671,47.004929,52.937824,184785.71875,-0.394611,-0.903718,-0.166059,0.033063,0.166642,-0.985463,-0.4117,0.167516,0.033538,1,?,?
